iter,train_loss,val_loss,train_iter_loss,time_ms,mfu_pct,note
0,4.2853,4.2801,,,,eval
5,,,4.2198,271.59,0.48,iter
6,,,4.2372,262.51,0.48,iter
7,,,4.2271,267.84,0.48,iter
8,,,4.2337,258.39,0.48,iter
9,,,4.2021,252.1,0.49,iter
10,,,4.1914,266.28,0.49,iter
11,,,4.1555,269.54,0.49,iter
12,,,4.1282,284.62,0.48,iter
13,,,4.124,278.73,0.48,iter
14,,,4.117,255.84,0.48,iter
15,,,4.1019,254.11,0.49,iter
16,,,4.0716,269.79,0.49,iter
17,,,4.0654,259.89,0.49,iter
18,,,4.0354,250.51,0.49,iter
19,,,4.0015,257.71,0.49,iter
20,,,3.9599,259.3,0.49,iter
21,,,3.9317,260.28,0.49,iter
22,,,3.9354,248.03,0.5,iter
23,,,3.8477,253.61,0.5,iter
24,,,3.8825,237.6,0.5,iter
25,,,3.7846,253.26,0.5,iter
26,,,3.7963,254.45,0.5,iter
27,,,3.7546,262.12,0.5,iter
28,,,3.7733,259.35,0.5,iter
29,,,3.7979,258.23,0.5,iter
30,,,3.6771,251.34,0.5,iter
31,,,3.646,285.01,0.5,iter
32,,,3.6402,273.12,0.5,iter
33,,,3.7033,265.44,0.5,iter
34,,,3.5842,260.66,0.5,iter
35,,,3.5669,252.82,0.5,iter
36,,,3.5332,262.63,0.5,iter
37,,,3.5161,247.64,0.5,iter
38,,,3.5857,258.22,0.5,iter
39,,,3.5207,254.54,0.5,iter
40,,,3.5133,247.66,0.5,iter
41,,,3.5595,251.75,0.5,iter
42,,,3.4702,241.38,0.51,iter
43,,,3.4947,246.88,0.51,iter
44,,,3.4615,252.85,0.51,iter
45,,,3.495,253.1,0.51,iter
46,,,3.4467,252.09,0.51,iter
47,,,3.4127,257.75,0.51,iter
48,,,3.4176,253.13,0.51,iter
49,,,3.4537,246.43,0.51,iter
50,,,3.5132,256.01,0.51,iter
51,,,3.3594,260.25,0.51,iter
52,,,3.3987,251.77,0.51,iter
53,,,3.4602,262.69,0.51,iter
54,,,3.4882,268.07,0.51,iter
55,,,3.3565,253.16,0.51,iter
56,,,3.3918,243.22,0.51,iter
57,,,3.3399,245.15,0.51,iter
58,,,3.3938,244.01,0.51,iter
59,,,3.4938,256.75,0.51,iter
60,,,3.4029,255.73,0.51,iter
61,,,3.3016,251.7,0.51,iter
62,,,3.3097,247.31,0.51,iter
63,,,3.3746,256.2,0.51,iter
64,,,3.3078,261.96,0.51,iter
65,,,3.278,257.29,0.51,iter
66,,,3.2309,238.94,0.51,iter
67,,,3.3046,252.73,0.51,iter
68,,,3.2081,250.76,0.51,iter
69,,,3.2909,254.37,0.51,iter
70,,,3.2837,234.83,0.52,iter
71,,,3.2627,246.48,0.52,iter
72,,,3.2692,261.19,0.52,iter
73,,,3.2016,245.61,0.52,iter
74,,,3.2305,238.49,0.52,iter
75,,,3.185,252.75,0.52,iter
76,,,3.0874,277.63,0.51,iter
77,,,3.1954,246.76,0.52,iter
78,,,3.1152,257.18,0.51,iter
79,,,3.137,246.36,0.52,iter
80,,,3.263,263.71,0.51,iter
81,,,3.1274,224.44,0.52,iter
82,,,3.0863,254.83,0.52,iter
83,,,3.1715,239.96,0.52,iter
84,,,3.1369,260.56,0.52,iter
85,,,3.0754,240.88,0.52,iter
86,,,3.0933,270.76,0.52,iter
87,,,3.1589,238.52,0.52,iter
88,,,3.0634,251.73,0.52,iter
89,,,3.0888,236.63,0.52,iter
90,,,3.0386,245.18,0.52,iter
91,,,2.978,235.42,0.53,iter
92,,,2.964,251.95,0.52,iter
93,,,2.986,260.83,0.52,iter
94,,,2.9946,258.44,0.52,iter
95,,,2.9667,249.57,0.52,iter
96,,,3.039,254.07,0.52,iter
97,,,3.0071,252.17,0.52,iter
98,,,2.9689,239.47,0.52,iter
99,,,3.0206,251.05,0.52,iter
100,,,2.9594,236.73,0.52,iter
101,,,3.0523,243.39,0.52,iter
102,,,2.9169,250.77,0.52,iter
103,,,2.9644,254.63,0.52,iter
104,,,2.9291,249.77,0.52,iter
105,,,2.9195,257.61,0.52,iter
106,,,2.9138,235.72,0.52,iter
107,,,2.9729,240.14,0.52,iter
108,,,2.8945,242.34,0.53,iter
109,,,2.8409,250.89,0.53,iter
110,,,2.8412,249.69,0.52,iter
111,,,2.9335,239.14,0.53,iter
112,,,2.892,262.93,0.52,iter
113,,,2.8455,256.37,0.52,iter
114,,,2.8839,252.99,0.52,iter
115,,,2.8157,235.67,0.52,iter
116,,,2.8807,252.31,0.52,iter
117,,,2.822,263.12,0.52,iter
118,,,2.7175,251.02,0.52,iter
119,,,2.8718,250.65,0.52,iter
120,,,2.8867,239.57,0.52,iter
121,,,2.7938,247.88,0.52,iter
122,,,2.8011,255.52,0.52,iter
123,,,2.7642,265.04,0.52,iter
124,,,2.8452,254.56,0.52,iter
125,,,2.8349,252.03,0.52,iter
126,,,2.8585,253.56,0.52,iter
127,,,2.8375,261.04,0.51,iter
128,,,2.82,238.55,0.52,iter
129,,,2.8186,246.03,0.52,iter
130,,,2.8574,246.98,0.52,iter
131,,,2.8601,248.04,0.52,iter
132,,,2.7997,244.54,0.52,iter
133,,,2.748,243.03,0.52,iter
134,,,2.8018,240.54,0.52,iter
135,,,2.7817,246.54,0.52,iter
136,,,2.7906,240.78,0.53,iter
137,,,2.7105,242.55,0.53,iter
138,,,2.8337,244.76,0.53,iter
139,,,2.8033,234.55,0.53,iter
140,,,2.7282,225.04,0.53,iter
141,,,2.7781,260.85,0.53,iter
142,,,2.8133,231.31,0.53,iter
143,,,2.7309,223.53,0.54,iter
144,,,2.7016,244.11,0.54,iter
145,,,2.846,247.91,0.54,iter
146,,,2.7818,248.71,0.53,iter
147,,,2.7971,243.23,0.53,iter
148,,,2.7728,230.55,0.54,iter
149,,,2.705,227.71,0.54,iter
150,,,2.7345,224.93,0.54,iter
151,,,2.6936,239.79,0.54,iter
152,,,2.7591,229.79,0.55,iter
153,,,2.779,242.3,0.55,iter
154,,,2.6676,237.4,0.55,iter
155,,,2.6278,246.37,0.54,iter
156,,,2.7321,235.69,0.54,iter
157,,,2.7195,240.2,0.54,iter
158,,,2.667,234.74,0.54,iter
159,,,2.6474,244.53,0.54,iter
160,,,2.6714,233.77,0.54,iter
161,,,2.7178,245.7,0.54,iter
162,,,2.712,235.68,0.54,iter
163,,,2.6497,236.36,0.54,iter
164,,,2.6999,227.2,0.55,iter
165,,,2.6802,251.17,0.54,iter
166,,,2.6725,227.2,0.55,iter
167,,,2.674,226.33,0.55,iter
168,,,2.7098,250.51,0.55,iter
169,,,2.7143,221.91,0.55,iter
170,,,2.7013,228.68,0.55,iter
171,,,2.732,240.23,0.55,iter
172,,,2.7068,235.48,0.55,iter
173,,,2.6606,245.06,0.55,iter
174,,,2.7373,239.41,0.55,iter
175,,,2.805,231.7,0.55,iter
176,,,2.5873,237.94,0.55,iter
177,,,2.6819,237.81,0.55,iter
178,,,2.7206,243.25,0.55,iter
179,,,2.5648,247.05,0.54,iter
180,,,2.7914,235.97,0.55,iter
181,,,2.6483,247.61,0.54,iter
182,,,2.5879,241.79,0.54,iter
183,,,2.5878,235.0,0.54,iter
184,,,2.6171,254.25,0.54,iter
185,,,2.6537,222.1,0.54,iter
186,,,2.751,243.74,0.54,iter
187,,,2.5752,250.15,0.54,iter
188,,,2.6599,272.08,0.53,iter
189,,,2.5919,263.54,0.53,iter
190,,,2.6565,263.26,0.53,iter
191,,,2.679,263.44,0.52,iter
192,,,2.7613,249.02,0.52,iter
193,,,2.5724,257.13,0.52,iter
194,,,2.6148,248.56,0.52,iter
195,,,2.5949,250.94,0.52,iter
196,,,2.5535,237.48,0.52,iter
197,,,2.7429,240.78,0.53,iter
198,,,2.5834,248.02,0.52,iter
199,,,2.6539,234.44,0.53,iter
200,2.5643,2.575,,,,eval
200,,,2.686,1174.25,0.49,iter
201,,,2.6042,243.44,0.49,iter
202,,,2.6078,251.4,0.49,iter
203,,,2.5644,251.89,0.5,iter
204,,,2.5902,256.35,0.5,iter
205,,,2.6163,246.33,0.5,iter
206,,,2.5702,245.1,0.5,iter
207,,,2.5945,228.75,0.51,iter
208,,,2.607,249.51,0.51,iter
209,,,2.6083,241.32,0.51,iter
210,,,2.5975,246.2,0.51,iter
211,,,2.5891,227.86,0.52,iter
212,,,2.5627,240.58,0.52,iter
213,,,2.5696,236.57,0.52,iter
214,,,2.6178,243.68,0.53,iter
215,,,2.6051,250.57,0.52,iter
216,,,2.6934,261.48,0.52,iter
217,,,2.5791,250.36,0.52,iter
218,,,2.6094,253.58,0.52,iter
219,,,2.5699,241.22,0.52,iter
220,,,2.4746,247.25,0.52,iter
221,,,2.557,250.6,0.52,iter
222,,,2.6304,262.32,0.52,iter
223,,,2.5964,248.54,0.52,iter
224,,,2.5631,242.63,0.52,iter
225,,,2.5485,234.2,0.52,iter
226,,,2.5783,229.24,0.53,iter
227,,,2.6114,245.1,0.53,iter
228,,,2.518,234.83,0.53,iter
229,,,2.5562,227.02,0.54,iter
230,,,2.5675,233.51,0.54,iter
231,,,2.5264,230.61,0.54,iter
232,,,2.5909,245.5,0.54,iter
233,,,2.5503,237.73,0.54,iter
234,,,2.5506,229.62,0.54,iter
235,,,2.5449,228.47,0.54,iter
236,,,2.5473,227.43,0.55,iter
237,,,2.5668,230.8,0.55,iter
238,,,2.5667,238.47,0.55,iter
239,,,2.5287,239.03,0.55,iter
240,,,2.5662,230.01,0.55,iter
241,,,2.6149,245.77,0.55,iter
242,,,2.6045,279.14,0.54,iter
243,,,2.6024,257.12,0.54,iter
244,,,2.5074,252.4,0.53,iter
245,,,2.6099,270.16,0.53,iter
246,,,2.5224,264.07,0.52,iter
247,,,2.6694,263.52,0.52,iter
248,,,2.5132,265.78,0.52,iter
249,,,2.4513,264.38,0.52,iter
250,,,2.5008,280.95,0.51,iter
251,,,2.6121,268.74,0.51,iter
252,,,2.4709,263.78,0.51,iter
253,,,2.5713,275.1,0.5,iter
254,,,2.5531,256.62,0.5,iter
255,,,2.5063,261.14,0.5,iter
256,,,2.4197,260.87,0.5,iter
257,,,2.5093,272.37,0.5,iter
258,,,2.5125,249.15,0.5,iter
259,,,2.5125,248.78,0.5,iter
260,,,2.5947,258.64,0.5,iter
261,,,2.5372,259.8,0.5,iter
262,,,2.4999,264.29,0.5,iter
263,,,2.5317,244.32,0.5,iter
264,,,2.5327,256.51,0.5,iter
265,,,2.4241,253.64,0.51,iter
266,,,2.5106,244.76,0.51,iter
267,,,2.5056,239.24,0.51,iter
268,,,2.5153,239.81,0.51,iter
269,,,2.509,250.85,0.51,iter
270,,,2.3595,249.13,0.52,iter
271,,,2.4576,256.24,0.51,iter
272,,,2.4974,259.78,0.51,iter
273,,,2.4077,258.51,0.51,iter
274,,,2.4595,253.51,0.51,iter
275,,,2.4683,239.33,0.51,iter
276,,,2.4043,246.09,0.52,iter
277,,,2.5062,255.25,0.52,iter
278,,,2.4214,244.02,0.52,iter
279,,,2.4739,236.68,0.52,iter
280,,,2.4621,236.88,0.52,iter
281,,,2.4635,238.77,0.53,iter
282,,,2.4921,247.83,0.52,iter
283,,,2.4303,243.03,0.53,iter
284,,,2.4807,255.13,0.52,iter
285,,,2.4223,231.65,0.53,iter
286,,,2.5554,248.87,0.53,iter
287,,,2.4174,237.69,0.53,iter
288,,,2.509,257.86,0.53,iter
289,,,2.4265,256.33,0.52,iter
290,,,2.5367,251.26,0.52,iter
291,,,2.5485,250.47,0.52,iter
292,,,2.5262,261.53,0.52,iter
293,,,2.3559,271.16,0.52,iter
294,,,2.4523,245.9,0.52,iter
295,,,2.4309,264.39,0.51,iter
296,,,2.4399,256.41,0.51,iter
297,,,2.3689,248.03,0.51,iter
298,,,2.4915,249.15,0.52,iter
299,,,2.4963,255.81,0.51,iter
300,,,2.4339,260.05,0.51,iter
301,,,2.4259,264.12,0.51,iter
302,,,2.408,242.66,0.51,iter
303,,,2.4491,267.26,0.51,iter
304,,,2.4077,265.53,0.51,iter
305,,,2.514,267.76,0.51,iter
306,,,2.4211,263.8,0.5,iter
307,,,2.4685,265.91,0.5,iter
308,,,2.401,259.74,0.5,iter
309,,,2.4374,233.61,0.51,iter
310,,,2.3698,249.51,0.51,iter
311,,,2.4478,267.15,0.51,iter
312,,,2.4853,272.96,0.5,iter
313,,,2.4635,265.52,0.5,iter
314,,,2.5082,272.58,0.5,iter
315,,,2.4655,271.33,0.5,iter
316,,,2.4911,268.08,0.5,iter
317,,,2.481,263.27,0.5,iter
318,,,2.4232,249.71,0.5,iter
319,,,2.3556,271.63,0.5,iter
320,,,2.4924,262.15,0.5,iter
321,,,2.4228,269.54,0.49,iter
322,,,2.3622,255.64,0.5,iter
323,,,2.3471,257.11,0.5,iter
324,,,2.4418,250.71,0.5,iter
325,,,2.3578,257.45,0.5,iter
326,,,2.5471,271.87,0.5,iter
327,,,2.4178,220.53,0.51,iter
328,,,2.4703,268.52,0.5,iter
329,,,2.3474,267.77,0.5,iter
330,,,2.3198,275.58,0.5,iter
331,,,2.3991,284.51,0.49,iter
332,,,2.448,275.04,0.49,iter
333,,,2.3582,263.45,0.49,iter
334,,,2.3212,265.04,0.49,iter
335,,,2.5393,273.11,0.49,iter
336,,,2.4192,270.33,0.49,iter
337,,,2.3631,256.32,0.49,iter
338,,,2.3907,267.55,0.49,iter
339,,,2.3506,257.98,0.49,iter
340,,,2.4339,269.56,0.49,iter
341,,,2.3464,273.8,0.49,iter
342,,,2.4121,266.75,0.49,iter
343,,,2.3871,249.46,0.49,iter
344,,,2.491,265.44,0.49,iter
345,,,2.5233,249.51,0.49,iter
346,,,2.3714,294.92,0.49,iter
347,,,2.2393,247.22,0.49,iter
348,,,2.3423,254.22,0.49,iter
349,,,2.3978,257.03,0.5,iter
350,,,2.3614,244.85,0.5,iter
351,,,2.3418,260.17,0.5,iter
352,,,2.2769,271.83,0.5,iter
353,,,2.4641,263.47,0.5,iter
354,,,2.4613,240.62,0.5,iter
355,,,2.3588,249.5,0.5,iter
356,,,2.4136,242.77,0.51,iter
357,,,2.3518,249.81,0.51,iter
358,,,2.4057,254.63,0.51,iter
359,,,2.4159,235.76,0.51,iter
360,,,2.2881,230.35,0.52,iter
361,,,2.4634,242.0,0.52,iter
362,,,2.3058,226.77,0.52,iter
363,,,2.3518,287.01,0.52,iter
364,,,2.3663,224.27,0.52,iter
365,,,2.4507,232.19,0.53,iter
366,,,2.3126,219.86,0.53,iter
367,,,2.344,214.35,0.54,iter
368,,,2.3874,225.15,0.54,iter
369,,,2.5167,216.23,0.55,iter
370,,,2.3676,219.82,0.55,iter
371,,,2.3754,216.35,0.56,iter
372,,,2.4336,229.56,0.56,iter
373,,,2.3823,219.1,0.56,iter
374,,,2.2869,221.71,0.56,iter
375,,,2.3558,223.62,0.57,iter
376,,,2.3538,242.89,0.56,iter
377,,,2.4222,242.73,0.56,iter
378,,,2.3327,231.56,0.56,iter
379,,,2.374,219.31,0.56,iter
380,,,2.2817,220.65,0.57,iter
381,,,2.4431,257.37,0.56,iter
382,,,2.2973,224.61,0.56,iter
383,,,2.418,234.15,0.56,iter
384,,,2.3322,215.74,0.56,iter
385,,,2.3667,220.91,0.57,iter
386,,,2.3475,219.6,0.57,iter
387,,,2.4317,208.56,0.57,iter
388,,,2.3344,219.37,0.58,iter
389,,,2.3435,221.09,0.58,iter
390,,,2.4183,225.49,0.58,iter
391,,,2.3472,224.84,0.58,iter
392,,,2.2321,224.43,0.58,iter
393,,,2.3258,226.51,0.58,iter
394,,,2.5078,216.69,0.58,iter
395,,,2.3835,212.91,0.58,iter
396,,,2.4063,213.61,0.58,iter
397,,,2.3008,219.98,0.59,iter
398,,,2.3876,213.25,0.59,iter
399,,,2.2908,260.11,0.58,iter
400,2.2636,2.2846,,,,eval
400,,,2.3395,1129.18,0.53,iter
401,,,2.2733,224.6,0.54,iter
402,,,2.2989,217.07,0.54,iter
403,,,2.3342,226.08,0.55,iter
404,,,2.4113,219.03,0.55,iter
405,,,2.4124,241.38,0.55,iter
406,,,2.2796,240.83,0.55,iter
407,,,2.3095,218.97,0.55,iter
408,,,2.3308,235.18,0.55,iter
409,,,2.327,217.94,0.56,iter
410,,,2.2549,212.61,0.56,iter
411,,,2.2855,215.41,0.57,iter
412,,,2.3776,232.04,0.57,iter
413,,,2.4372,222.75,0.57,iter
414,,,2.3568,217.67,0.57,iter
415,,,2.3353,221.7,0.57,iter
416,,,2.365,212.44,0.58,iter
417,,,2.3701,216.91,0.58,iter
418,,,2.2309,237.63,0.57,iter
419,,,2.3117,214.14,0.58,iter
420,,,2.351,223.83,0.58,iter
421,,,2.3032,237.51,0.57,iter
422,,,2.3671,248.65,0.57,iter
423,,,2.3017,231.3,0.57,iter
424,,,2.2627,208.37,0.57,iter
425,,,2.2492,216.43,0.58,iter
426,,,2.3111,215.24,0.58,iter
427,,,2.3725,218.82,0.58,iter
428,,,2.3094,220.07,0.58,iter
429,,,2.3808,211.98,0.58,iter
430,,,2.2196,221.5,0.58,iter
431,,,2.3827,222.76,0.58,iter
432,,,2.2905,228.21,0.58,iter
433,,,2.3609,210.25,0.59,iter
434,,,2.3278,211.64,0.59,iter
435,,,2.343,228.25,0.59,iter
436,,,2.327,219.85,0.59,iter
437,,,2.3248,219.93,0.59,iter
438,,,2.28,216.71,0.59,iter
439,,,2.3729,229.71,0.59,iter
440,,,2.3617,219.18,0.59,iter
441,,,2.3433,213.36,0.59,iter
442,,,2.2432,223.08,0.59,iter
443,,,2.4581,213.32,0.59,iter
444,,,2.3241,219.84,0.59,iter
445,,,2.2819,215.87,0.59,iter
446,,,2.2989,226.25,0.59,iter
447,,,2.1212,215.91,0.59,iter
448,,,2.277,230.92,0.59,iter
449,,,2.2554,237.6,0.58,iter
450,,,2.395,214.85,0.59,iter
451,,,2.2756,213.37,0.59,iter
452,,,2.2824,221.6,0.59,iter
453,,,2.2797,227.73,0.59,iter
454,,,2.1757,217.7,0.59,iter
455,,,2.3055,218.22,0.59,iter
456,,,2.2398,222.26,0.59,iter
457,,,2.2418,225.21,0.59,iter
458,,,2.2051,223.27,0.59,iter
459,,,2.288,231.57,0.58,iter
460,,,2.2764,216.39,0.58,iter
461,,,2.2833,225.82,0.58,iter
462,,,2.2475,217.37,0.59,iter
463,,,2.2658,245.38,0.58,iter
464,,,2.1985,222.71,0.58,iter
465,,,2.2945,215.85,0.58,iter
466,,,2.2698,227.33,0.58,iter
467,,,2.2895,221.76,0.58,iter
468,,,2.1846,220.18,0.58,iter
469,,,2.3008,217.8,0.58,iter
470,,,2.2747,229.37,0.58,iter
471,,,2.3403,228.24,0.58,iter
472,,,2.361,211.97,0.58,iter
473,,,2.3062,218.43,0.58,iter
474,,,2.2547,221.39,0.58,iter
475,,,2.361,240.26,0.58,iter
476,,,2.2347,224.26,0.58,iter
477,,,2.2347,235.54,0.58,iter
478,,,2.2981,226.59,0.58,iter
479,,,2.1873,241.72,0.57,iter
480,,,2.2425,220.75,0.57,iter
481,,,2.1772,221.31,0.58,iter
482,,,2.2194,222.6,0.58,iter
483,,,2.2164,220.03,0.58,iter
484,,,2.2676,227.89,0.58,iter
485,,,2.2818,239.06,0.57,iter
486,,,2.2868,228.55,0.57,iter
487,,,2.1505,239.76,0.57,iter
488,,,2.2119,293.41,0.56,iter
489,,,2.1763,264.45,0.55,iter
490,,,2.2162,268.55,0.54,iter
491,,,2.2649,274.13,0.54,iter
492,,,2.3673,267.88,0.53,iter
493,,,2.1395,280.82,0.52,iter
494,,,2.2757,255.99,0.52,iter
495,,,2.2101,271.68,0.52,iter
496,,,2.3386,264.06,0.52,iter
497,,,2.2757,271.21,0.51,iter
498,,,2.2781,266.44,0.51,iter
499,,,2.2442,269.42,0.51,iter
500,,,2.2276,243.45,0.51,iter
501,,,2.2216,278.1,0.51,iter
502,,,2.1501,286.82,0.5,iter
503,,,2.2027,272.82,0.5,iter
